"","Estacao","Data_de_Amostragem","Ano","Turbidez","Data"
"1","RD019",1997-09-02,1997,15,1997 set
"2","RD019",1997-11-11,1997,60,1997 nov
"3","RD019",1998-03-19,1998,50,1998 mar
"4","RD019",1998-08-28,1998,5.35,1998 ago
"5","RD019",1998-11-05,1998,221,1998 nov
"6","RD019",1999-03-25,1999,51.2,1999 mar
"7","RD019",1999-05-13,1999,11.6,1999 mai
"8","RD019",1999-08-19,1999,11.6,1999 ago
"9","RD019",1999-11-08,1999,223,1999 nov
"10","RD019",2000-02-15,2000,133,2000 fev
"11","RD019",2000-05-03,2000,27.2,2000 mai
"12","RD019",2000-08-01,2000,14.3,2000 ago
"13","RD019",2000-10-26,2000,27,2000 out
"14","RD019",2001-02-13,2001,83.3,2001 fev
"15","RD019",2001-05-03,2001,17.3,2001 mai
"16","RD019",2001-08-14,2001,5.78,2001 ago
"17","RD019",2001-10-23,2001,84.6,2001 out
"18","RD023",1997-09-16,1997,20,1997 set
"19","RD023",1997-11-20,1997,20,1997 nov
"20","RD023",1998-03-18,1998,180,1998 mar
"21","RD023",1998-08-30,1998,19.7,1998 ago
"22","RD023",1998-11-08,1998,107,1998 nov
"23","RD023",1999-03-28,1999,108,1999 mar
"24","RD023",1999-05-16,1999,15.2,1999 mai
"25","RD023",1999-08-22,1999,12.7,1999 ago
"26","RD023",1999-11-10,1999,155,1999 nov
"27","RD023",2000-02-17,2000,133,2000 fev
"28","RD023",2000-05-05,2000,37.3,2000 mai
"29","RD023",2000-08-03,2000,18.2,2000 ago
"30","RD023",2000-10-29,2000,29.9,2000 out
"31","RD023",2001-02-15,2001,62.2,2001 fev
"32","RD023",2001-05-07,2001,29,2001 mai
"33","RD023",2001-08-16,2001,8.08,2001 ago
"34","RD023",2001-10-25,2001,96.1,2001 out
"35","RD033",1997-07-30,1997,15,1997 jul
"36","RD033",1997-11-05,1997,30,1997 nov
"37","RD033",1998-03-11,1998,20,1998 mar
"38","RD033",1998-08-30,1998,8.2,1998 ago
"39","RD033",1998-11-08,1998,109,1998 nov
"40","RD033",1999-03-28,1999,124,1999 mar
"41","RD033",1999-05-16,1999,18.9,1999 mai
"42","RD033",1999-08-22,1999,13,1999 ago
"43","RD033",1999-11-10,1999,315,1999 nov
"44","RD033",2000-02-18,2000,128,2000 fev
"45","RD033",2000-05-07,2000,51.8,2000 mai
"46","RD033",2000-08-04,2000,20.2,2000 ago
"47","RD033",2000-10-30,2000,16.4,2000 out
"48","RD033",2001-02-16,2001,47.3,2001 fev
"49","RD033",2001-05-08,2001,30.2,2001 mai
"50","RD033",2001-08-17,2001,18,2001 ago
"51","RD033",2001-10-26,2001,83.9,2001 out
"52","RD035",1997-08-05,1997,3,1997 ago
"53","RD035",1997-10-28,1997,35,1997 out
"54","RD035",2000-02-17,2000,141,2000 fev
"55","RD035",2000-05-05,2000,50.5,2000 mai
"56","RD035",2000-08-03,2000,21.1,2000 ago
"57","RD035",2000-10-29,2000,21.6,2000 out
"58","RD035",2001-02-15,2001,54.6,2001 fev
"59","RD035",2001-05-07,2001,30.8,2001 mai
"60","RD035",2001-08-16,2001,15.9,2001 ago
"61","RD035",2001-10-25,2001,150,2001 out
"62","RD044",2000-02-21,2000,168,2000 fev
"63","RD044",2000-05-08,2000,55.5,2000 mai
"64","RD044",2000-08-06,2000,21,2000 ago
"65","RD044",2000-10-30,2000,12.1,2000 out
"66","RD044",2001-02-16,2001,29.8,2001 fev
"67","RD044",2001-05-08,2001,24.3,2001 mai
"68","RD044",2001-08-17,2001,11.7,2001 ago
"69","RD044",2001-10-26,2001,97.5,2001 out
"70","RD045",1997-07-30,1997,15,1997 jul
"71","RD045",1997-11-05,1997,30,1997 nov
"72","RD045",1998-03-12,1998,25,1998 mar
"73","RD045",1998-08-31,1998,5.05,1998 ago
"74","RD045",1998-11-09,1998,133,1998 nov
"75","RD045",1999-03-29,1999,61.1,1999 mar
"76","RD045",1999-05-17,1999,15.3,1999 mai
"77","RD045",1999-08-23,1999,9.67,1999 ago
"78","RD045",1999-11-11,1999,444,1999 nov
"79","RD045",2000-02-21,2000,143,2000 fev
"80","RD045",2000-05-08,2000,42.2,2000 mai
"81","RD045",2000-08-06,2000,12.3,2000 ago
"82","RD045",2000-10-31,2000,7.77,2000 out
"83","RD045",2001-02-18,2001,30.9,2001 fev
"84","RD045",2001-05-09,2001,15.3,2001 mai
"85","RD045",2001-08-19,2001,9.11,2001 ago
"86","RD045",2001-10-28,2001,48.9,2001 out
"87","RD053",1997-09-04,1997,9,1997 set
"88","RD053",1997-11-19,1997,20,1997 nov
"89","RD053",1998-08-31,1998,6.46,1998 ago
"90","RD053",1998-11-09,1998,127,1998 nov
"91","RD053",1999-03-29,1999,55.6,1999 mar
"92","RD053",1999-05-17,1999,14.7,1999 mai
"93","RD053",1999-08-23,1999,4.58,1999 ago
"94","RD053",1999-11-11,1999,496,1999 nov
"95","RD053",2000-02-21,2000,231,2000 fev
"96","RD053",2000-05-08,2000,46,2000 mai
"97","RD053",2000-08-06,2000,6.44,2000 ago
"98","RD053",2000-10-31,2000,7.64,2000 out
"99","RD053",2001-02-18,2001,27.9,2001 fev
"100","RD053",2001-05-09,2001,15.6,2001 mai
"101","RD053",2001-08-19,2001,12.3,2001 ago
"102","RD053",2001-10-28,2001,64.6,2001 out
"103","RD058",2000-02-22,2000,242,2000 fev
"104","RD058",2000-05-08,2000,56.7,2000 mai
"105","RD058",2000-08-07,2000,10.7,2000 ago
"106","RD058",2000-10-31,2000,7.68,2000 out
"107","RD058",2001-02-18,2001,27.4,2001 fev
"108","RD058",2001-05-09,2001,12.9,2001 mai
"109","RD058",2001-08-19,2001,13.5,2001 ago
"110","RD058",2001-10-28,2001,60.1,2001 out
"111","RD059",1997-09-04,1997,10,1997 set
"112","RD059",1997-11-19,1997,20,1997 nov
"113","RD059",1998-03-17,1998,45,1998 mar
"114","RD059",1998-09-01,1998,6.65,1998 set
"115","RD059",1998-11-09,1998,99.8,1998 nov
