"","Estacao","Data","value"
"1","RD011",2016 set,454
"2","RD011",2016 out,252
"3","RD011",2016 nov,169
"4","RD011",2016 dez,4105
"5","RD011",2017 jan,874
"6","RD011",2017 fev,123
"7","RD011",2017 jul,40.9
"8","RD011",2017 ago,49.3
"9","RD011",2017 set,12.2
"10","RD011",2017 out,34.8
"11","RD011",2017 nov,960
"12","RD011",2017 dez,1462
"13","RD011",2018 jan,229
"14","RD011",2018 fev,732
"15","RD011",2018 mar,250
"16","RD011",2018 abr,122
"17","RD011",2018 mai,17
"18","RD011",2018 jun,11.7
"19","RD011",2018 jul,9.12
"20","RD011",2018 ago,28.1
"21","RD011",2018 set,5.97
"22","RD011",2018 out,7.2
"23","RD011",2018 nov,84.4
"24","RD011",2018 dez,51.7
"25","RD011",2019 jan,19.4
"26","RD011",2019 fev,34.1
"27","RD011",2019 mar,117
"28","RD011",2019 abr,118
"29","RD011",2019 mai,79.4
"30","RD011",2019 jun,12.1
"31","RD011",2019 jul,6.84
"32","RD011",2019 ago,4.1
"33","RD011",2019 set,4.41
"34","RD011",2019 out,5.17
"35","RD011",2019 nov,37.3
"36","RD011",2019 dez,114
"37","RD011",2020 jan,127
"38","RD011",2020 fev,307
"39","RD011",2020 mar,885
"40","RD011",2020 mai,16.6
"41","RD011",2020 jun,10.1
"42","RD011",2020 jul,10.7
"43","RD011",2020 ago,7.52
"44","RD011",2020 set,4.69
"45","RD011",2020 out,3.57
"46","RD011",2020 nov,29.7
"47","RD011",2020 dez,257
"48","RD011",2021 jan,255
"49","RD011",2021 fev,1036
"50","RD011",2021 mar,93.1
"51","RD011",2021 abr,22.7
"52","RD011",2021 mai,4.72
"53","RD011",2021 jun,18.3
"54","RD011",2021 jul,7.61
"55","RD011",2021 ago,7.8
"56","RD011",2021 set,6.55
"57","RD011",2021 out,73.1
"58","RD011",2021 nov,53.7
"59","RD011",2021 dez,128
"60","RD011",2022 jan,255
"61","RD011",2022 fev,375
"62","RD011",2022 mar,34.8
"63","RD011",2022 abr,24.5
"64","RD011",2022 mai,27.2
"65","RD011",2022 jun,11
"66","RD019",1997 set,15
"67","RD019",1997 nov,60
"68","RD019",1998 mar,50
"69","RD019",1998 ago,5.35
"70","RD019",1998 nov,221
"71","RD019",1999 mar,51.2
"72","RD019",1999 mai,11.6
"73","RD019",1999 ago,11.6
"74","RD019",1999 nov,223
"75","RD019",2000 fev,133
"76","RD019",2000 mai,27.2
"77","RD019",2000 ago,14.3
"78","RD019",2000 out,27
"79","RD019",2001 fev,83.3
"80","RD019",2001 mai,17.3
"81","RD019",2001 ago,5.78
"82","RD019",2001 out,84.6
"83","RD019",2002 fev,294
"84","RD019",2002 abr,42.8
"85","RD019",2002 jul,25.1
"86","RD019",2002 out,19.6
"87","RD019",2003 fev,75.2
"88","RD019",2003 abr,17.2
"89","RD019",2003 jul,7.92
"90","RD019",2003 out,14.7
"91","RD019",2004 jan,171
"92","RD019",2004 abr,200
"93","RD019",2004 jul,25.8
"94","RD019",2004 out,22.4
"95","RD019",2005 jan,209
"96","RD019",2005 abr,34.6
"97","RD019",2005 jul,8.69
"98","RD019",2005 out,31.7
"99","RD019",2006 jan,31.1
"100","RD019",2006 abr,30.4
"101","RD019",2006 jul,10
"102","RD019",2006 out,12.2
"103","RD019",2007 jan,69.7
"104","RD019",2007 abr,31.8
"105","RD019",2007 jul,8.06
"106","RD019",2007 out,12.8
"107","RD019",2008 jan,91
"108","RD019",2008 abr,78.4
"109","RD019",2008 jul,61.7
"110","RD019",2008 out,21
"111","RD019",2009 jan,83
"112","RD019",2009 abr,286
"113","RD019",2009 jul,18
"114","RD019",2009 out,48
"115","RD019",2010 jan,40.7
"116","RD019",2010 abr,57.9
"117","RD019",2010 jul,4.48
"118","RD019",2010 out,12
"119","RD019",2011 jan,233
"120","RD019",2011 abr,94.9
"121","RD019",2011 jul,8.16
"122","RD019",2011 out,9.82
"123","RD019",2012 jan,81.6
"124","RD019",2012 abr,90.4
"125","RD019",2012 jul,22.9
"126","RD019",2012 out,10.9
"127","RD019",2013 jan,26.8
"128","RD019",2013 abr,318
"129","RD019",2013 jun,15.2
"130","RD019",2013 jul,8.89
"131","RD019",2013 ago,16.2
"132","RD019",2013 set,6.88
"133","RD019",2013 out,13
"134","RD019",2013 nov,9.3
"135","RD019",2013 dez,181
"136","RD019",2014 jan,23.4
"137","RD019",2014 fev,5.08
"138","RD019",2014 mar,15
"139","RD019",2014 abr,7.11
"140","RD019",2014 mai,3.09
"141","RD019",2014 jun,5.33
"142","RD019",2014 jul,3.54
"143","RD019",2014 ago,2.99
"144","RD019",2014 set,2.97
"145","RD019",2014 out,2.71
